Analytic,Category,Platform,Tactic,Technique,Technique Name,Detection Strategy,Strategy Name,Classifier Signal,Log Sources,Description,"Status ( Done, Under-Progress, Not-Yet Done)",OCSF Mapping Possible (Yes/No),updated or not 
AN0235,Endpoint-offline,Windows,credential-access,T1003.002,Security Account Manager,DET0085,Credential Dumping from SAM via Registry Dump and Local File Access,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"An adversary running with SYSTEM-level privileges executes commands or accesses registry keys to dump the SAM hive or directly reads sensitive local files from the config directory. This behavior often involves sequential access to HKLM\SAM, HKLM\SYSTEM, and creation of .save or .dmp files, enabling offline hash extraction.",Done,Yes,done
AN0292,Endpoint-offline,Windows,credential-access,T1110.002,Password Cracking,DET0105,Post-Credential Dump Password Cracking Detection via Suspicious File Access and Hash Analysis Tools,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Use of hash-cracking tools (e.g., John the Ripper, Hashcat) after credential dumping, combined with high CPU usage or GPU invocation via unsigned binaries accessing password hash files",Done,Yes,done
AN0105,Endpoint-offline,Windows,credential-access,T1555.003,Credentials from Web Browsers,DET0037,Detect Suspicious Access to Browser Credential Stores,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detects unauthorized access to web browser credential stores (e.g., Chrome Login Data, Edge Credential Locker) by processes other than the browser itself. Correlates file reads of credential databases with subsequent API calls to `CryptUnprotectData` or memory inspection attempts.",Done,No(but can be convertable to yes),done
AN0378,Endpoint-offline,Windows,credential-access,T1555.004,Windows Credential Manager,DET0134,Detect Suspicious Access to Windows Credential Manager,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detects unauthorized access to Windows Credential Manager through anomalous process execution (vaultcmd.exe, rundll32.exe keymgr.dll), suspicious API calls (CredEnumerateA), or direct file access to Credential Locker files. Correlates process creation with subsequent file reads of .vcrd/.vpol files under user Credential Locker directories.",Done,Yes,done
AN0287,Endpoint-offline,Windows,"credential-access, defense-impairment, persistence",T1556,Modify Authentication Process,DET0104,Detect Modification of Authentication Processes Across Platforms,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detects modification of LSASS and authentication DLLs, suspicious registry changes to password filter packages, and abnormal process access to lsass.exe. Correlates registry modifications, DLL loads, and process handle access events.",Done,No(but can be convertable to yes),done
AN0451,Endpoint-offline,Windows,credential-access,T1621,Multi-Factor Authentication Request Generation,DET0160,Detection Strategy for Multi-Factor Authentication Request Generation (T1621),host-local feeds only,WinEventLog:Security,"Detect repeated failed login events followed by MFA challenges triggered in rapid succession, especially if originating from service accounts or anomalous IP addresses.",Done,Yes,done
AN0781,Endpoint-offline,Windows,"defense-impairment, persistence",T1112,Modify Registry,DET0280,Behavior-Based Registry Modification Detection on Windows,host-local feeds only,WinEventLog:Sysmon,"Behavior chain involving abnormal registry modifications via CLI, PowerShell, WMI, or direct API calls, especially targeting persistence, privilege escalation, or defense evasion keys, potentially followed by service restart or process execution. Such as editing Notify/Userinit/Startup keys, or disabling SafeDllSearchMode.",Done,Yes,done
AN0834,Endpoint-offline,Windows,defense-impairment,T1222,File and Directory Permissions Modification,DET0299,Multi-Platform File and Directory Permissions Modification Detection Strategy,host-local feeds only,WinEventLog:PowerShell; WinEventLog:Security; WinEventLog:Sysmon,"Sequential behavioral chain of privilege escalation through permission modification: (1) Process creation of permission-modifying utilities (icacls, takeown, attrib, cacls), (2) Correlation with unusual user context or timing, (3) DACL modification events targeting sensitive files/directories, (4) Subsequent file access or modification attempts indicating successful privilege bypass",Done,Yes,done
AN0755,Endpoint-offline,Windows,"defense-impairment, privilege-escalation",T1484,Domain or Tenant Policy Modification,DET0270,Detection of Domain or Tenant Policy Modifications via AD and Identity Provider,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Adversary modifies Group Policy Objects (GPOs), domain trust, or directory service objects via GUI, CLI, or programmatic APIs. Behavior includes creation/modification of GPOs, delegation permissions, trust objects, or rogue domain controller registration.",Done,No(but can be convertable to yes),done
AN0854,Endpoint-offline,Windows,"defense-impairment, privilege-escalation",T1484.001,Group Policy Modification,DET0305,Detection of Group Policy Modifications via AD Object Changes and File Activity,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Adversary modifies GPO containers or files under SYSVOL using LDAP, ADSI, PowerShell (e.g., New-GPOImmediateTask) or GUI tools. This includes directory object changes (e.g., gPCFileSysPath), delegation assignments (SeEnableDelegationPrivilege), and SYSVOL file writes (ScheduledTasks.xml, GptTmpl.inf).",Done,Yes,done
