Level of Importance,Name / Category,Targeting / Description,Parent Domain,Coverage Status,Coverage Details,MITRE Technique,Can we build it?,Extra Tooling / Log Source Needed,Gap Type,Need New Tool? (Y/N),Needs Log/API Config? (Y/N)
Core,Next-gen AV + ML prevention,"Pre-execution ML scoring, signature-less detection, polymorphic malware blocking before detonation",Endpoint protection & response: Core EDR — agents on every managed device,Out of Scope,Real-time prevention and pre-execution ML scoring are architectural capabilities that require a dedicated NGAV/EDR agent on the endpoint. Our detection engine operates post-execution on telemetry and cannot perform this point-in-time stateless prevention.,T1204 (User Execution),No. Relies on endpoint AV/EDR engine.,NGAV / EDR Platform,Tooling / Capability Gap,Y,N
Core,Behavioural detection & prevention,"Continuous process telemetry, MITRE ATT&CK-mapped rules, real-time blocking of anomalous behaviour chains",Endpoint protection & response: Core EDR — agents on every managed device,Covered – SOAR-dependent,"Strong behavioral detection capability through stateful streaming correlation is fully covered by 470+ active correlation rules (e.g., AN0827-T1561.002-DET0297, AN0602-T1486-DET0215). Real-time prevention/blocking is out of scope as it requires an EDR agent. Assuming a SOAR platform is deployed, the SIEM detects/correlates the condition, and a SOAR playbook executes take response action via EDR API. (Conditional on integration being built and tested).",T1059 (Command and Scripting Interpreter),"Yes, via SOAR playbook calling EDR API.",SOAR playbook: take-response-action via EDR API,Orchestration Gap (SOAR playbook needed),N,Y
Gov-critical,Fileless & in-memory attack prevention,"AMSI integration, reflective DLL injection detection, process hollowing, living-off-the land (LOLBAS) blocking",Endpoint protection & response: Core EDR — agents on every managed device,Partial,"Process Hollowing detection is covered (rule AN1076-T1055.012-DET0382). However, we have significant gaps for the other techniques: To detect LOLBAS (hackers abusing built-in Windows tools), we need Sysmon Event ID 1 to see the exact tool name (OriginalFileName) and what command was typed (CommandLine). To detect hidden scripts via AMSI, we need Windows Event 1116/1117 to read the actual script content (ScriptBlockText). For Windows to even generate these logs, IT must first enable 'Script Block Logging' via Group Policy (GPO). Finally, detecting Reflective DLL (which hides directly in RAM) and real-time blocking are out of scope. SIEM only reads logs; scanning RAM and blocking attacks requires a dedicated EDR agent. Once detection is closed (via missing log), response is separately solvable via SOAR playbook + EDR, once integrated.","T1055 (Process Hollowing), T1620 (Reflective Code Loading), T1562.001 / T1059.001 (AMSI Bypass)","Yes. AMSI rules can be built via logs and process creation patterns. Reflective loading can be built via Sysmon, but note: this is heuristic and prone to FPs.",EDR Platform,Missing Rule,N,N
Gov-critical,Endpoint isolation & network containment,One-click network cut-off retaining C2 channel back to console; remote site containment without physical access,Endpoint protection & response: Core EDR — agents on every managed device,Covered – SOAR-dependent,"While we can audit when a hacker tampers with a host firewall, performing actual one-click network containment and remote site isolation are active response capabilities. This requires a dedicated EDR agent. Our SIEM correlation engine operates passively on logs and cannot perform this physical containment function. Assuming a SOAR platform is deployed, the SIEM detects/correlates the condition, and a SOAR playbook executes isolate host via EDR API. (Conditional on integration being built and tested).",T1562.004 (Disable/Modify Firewall) / Auditing,"Yes, via SOAR playbook calling EDR API.",SOAR playbook: isolate-host via EDR API,Orchestration Gap (SOAR playbook needed),N,Y
Gov-critical,Live response & remote remediation,"Remote shell, file retrieval, process kill, registry edit, memory dump — all from central console across 200+ sites",Endpoint protection & response: Core EDR — agents on every managed device,Covered – SOAR-dependent,"A SIEM is a passive log analytics tool; it cannot perform active 'live response' or 'remote remediation' on endpoints (like killing processes or isolating machines). This capability physically requires an EDR agent. Assuming a SOAR platform is deployed, the SIEM detects/correlates the condition, and a SOAR playbook executes live response actions via EDR API. (Conditional on integration being built and tested).",T1059 (Command/Scripting) / Auditing,"Yes, via SOAR playbook calling EDR API.",SOAR playbook: live-response via EDR API,Orchestration Gap (SOAR playbook needed),N,Y
Core,"Ransomware detection, rollback & vaccination","Canary file detonation, shadow copy protection, automated rollback of encrypted files, decoy-based deception",Endpoint protection & response: Core EDR — agents on every managed device,Covered – SOAR-dependent,"Shadow copy deletion detection (a key ransomware indicator) is fully covered by rules AN0933-T1490-DET0329, AN0602-T1486-DET0215, and AN0411-T1485-DET0146. However, automated rollback of encrypted files and canary file detonation are out of scope. Our SIEM is a passive log analysis engine; physically restoring encrypted files and deploying deception decoys are active capabilities that fundamentally require a dedicated EDR agent. Assuming a SOAR platform is deployed, the SIEM detects/correlates the condition, and a SOAR playbook executes isolate host and restore files via EDR API. (Conditional on integration being built and tested).","T1486 (Data Encrypted for Impact), T1490","Yes, via SOAR playbook calling EDR API.",SOAR playbook: isolate-host-and-restore-files via EDR API,Orchestration Gap (SOAR playbook needed),N,Y
Core,Exploit & memory protection,"CFG, DEP, ASLR enforcement; heap spray detection; stack pivot and ROP chain blocking; kernel exploit prevention",Endpoint protection & response: Core EDR — agents on every managed device,Out of Scope,Enforcing memory protections (like ASLR/DEP) and actively blocking ROP chains or kernel exploits are OS-level mitigations. This requires tools like Windows Exploit Guard or an EDR's exploit mitigation module. A SIEM cannot physically enforce memory protections or block exploits in real-time.,"T1055 (Process Injection), T1203",No. Exploit mitigation requires OS-level configuration.,EDR Platform,Tooling / Capability Gap,Y,N
Core,Script-based attack detection,"PowerShell, WScript, Bash, Python, VBA, macro analysis — AMSI hooks at runtime, obfuscation deobfuscation engine",Endpoint protection & response: Core EDR — agents on every managed device,Partial,"Basic script obfuscation checks (like hackers hiding commands with caret ^ symbols) are strongly covered by over 100 rules (e.g., AN1501-T1055.013-DET0544). However, our major gap is runtime deobfuscation. To catch advanced scripts that hide themselves, we desperately need Windows Event ID 1116/1117 (AMSI logs). This specific log gives us the clean, readable script content (ScriptBlockText) right before it executes. Without IT turning on 'Script Block Logging' via Group Policy (GPO), the SIEM is completely blind to advanced fileless scripts. Once detection is closed (via missing log), response is separately solvable via SOAR playbook + EDR, once integrated.",T1059.001 (PowerShell),"Yes, but we need AMSI logs enabled on endpoints.",Windows AMSI / EDR Platform,Missing Logs,N,Y
Gov-critical,USB & removable device control,"Per-device allow/block/read-only, vendor/serial granularity, audit trail, remote exception workflow, encrypted USB enforcement",Endpoint protection & response: Core EDR — agents on every managed device,Partial,"Detecting data being copied to USB drives via command-line heuristics is covered by rules AN0616-T1052.001-DET0220 and AN0342-T1052-DET0123. However, we have a gap in deterministic hardware auditing; to reliably log physical USB insertions, we need Windows Event ID 2003 (DriverFrameworks-UserMode) enabled. Finally, actively blocking USB drives or enforcing read-only policies are out of scope. A SIEM cannot physically block hardware from mounting; this requires a dedicated EDR or DLP device control agent. Once detection is closed (via missing log), response is separately solvable via SOAR playbook + EDR, once integrated.",T1052.001 (Exfiltration over Physical Medium) / T1091,Yes. Can build rules targeting actual USB insertion and block events.,EDR Device Control / DLP Agent,Tooling / Capability Gap,Y,N
Core,Hash-based IOC blocking,"Auto-import of threat intel IOC feeds, SHA-256 blacklist/whitelist, custom hash policy with version tracking",Endpoint protection & response: Core EDR — agents on every managed device,Covered – SOAR-dependent,"Real-time blocking of malicious SHA-256 hashes and enforcing custom hash execution policies are active response features that require a dedicated EDR agent. While our SIEM can theoretically alert on known bad hashes after they run, physically blocking the file from executing in the first place is out of scope for a passive correlation engine. Assuming a SOAR platform is deployed, the SIEM detects/correlates the condition, and a SOAR playbook executes block hash/IOC via EDR/TIP API. (Conditional on integration being built and tested).",T1036 (Masquerading),"Yes, via SOAR playbook calling EDR/TIP API.",SOAR playbook: block-hash/IOC via EDR/TIP API,Orchestration Gap (SOAR playbook needed),N,Y
